['010374.jpg'] ssim/ir:0.168710 ssim/vi:0.130442
['010375.jpg'] ssim/ir:0.117532 ssim/vi:0.148938
['010376.jpg'] ssim/ir:0.134800 ssim/vi:0.111560
['010377.jpg'] ssim/ir:0.090740 ssim/vi:0.126484
['010378.jpg'] ssim/ir:0.087317 ssim/vi:0.139798
['010379.jpg'] ssim/ir:0.091560 ssim/vi:0.135187
['010380.jpg'] ssim/ir:0.186396 ssim/vi:0.119490
['010381.jpg'] ssim/ir:0.078170 ssim/vi:0.153136
['010382.jpg'] ssim/ir:0.117279 ssim/vi:0.153449
['010383.jpg'] ssim/ir:0.135436 ssim/vi:0.117712
['010384.jpg'] ssim/ir:0.197894 ssim/vi:0.101571
['010385.jpg'] ssim/ir:0.088207 ssim/vi:0.147566
['010386.jpg'] ssim/ir:0.111221 ssim/vi:0.135438
['010387.jpg'] ssim/ir:0.077511 ssim/vi:0.132612
['010388.jpg'] ssim/ir:0.091404 ssim/vi:0.128049
['010389.jpg'] ssim/ir:0.100977 ssim/vi:0.146584
['010390.jpg'] ssim/ir:0.084925 ssim/vi:0.159192
['010391.jpg'] ssim/ir:0.088607 ssim/vi:0.141324
['010392.jpg'] ssim/ir:0.083549 ssim/vi:0.151785
['010393.jpg'] ssim/ir:0.069290 ssim/vi:0.145990
['010394.jpg'] ssim/ir:0.080190 ssim/vi:0.138618
['010395.jpg'] ssim/ir:0.091189 ssim/vi:0.143465
['010396.jpg'] ssim/ir:0.229168 ssim/vi:0.149080
['010397.jpg'] ssim/ir:0.114117 ssim/vi:0.132469
['010398.jpg'] ssim/ir:0.161076 ssim/vi:0.118271
['010399.jpg'] ssim/ir:0.122480 ssim/vi:0.127697
['010400.jpg'] ssim/ir:0.220436 ssim/vi:0.133992
['010401.jpg'] ssim/ir:0.090292 ssim/vi:0.155538
['010402.jpg'] ssim/ir:0.150719 ssim/vi:0.140430
['010403.jpg'] ssim/ir:0.098666 ssim/vi:0.118140
['010404.jpg'] ssim/ir:0.125671 ssim/vi:0.125364
['010405.jpg'] ssim/ir:0.083904 ssim/vi:0.153775
['010406.jpg'] ssim/ir:0.078110 ssim/vi:0.148301
['010407.jpg'] ssim/ir:0.127374 ssim/vi:0.122920
['010408.jpg'] ssim/ir:0.080432 ssim/vi:0.131916
['010409.jpg'] ssim/ir:0.127120 ssim/vi:0.133433
['010410.jpg'] ssim/ir:0.135453 ssim/vi:0.122136
['010411.jpg'] ssim/ir:0.076608 ssim/vi:0.157930
['010412.jpg'] ssim/ir:0.084476 ssim/vi:0.130941
['010413.jpg'] ssim/ir:0.097810 ssim/vi:0.140981
['010414.jpg'] ssim/ir:0.222449 ssim/vi:0.144954
['010415.jpg'] ssim/ir:0.135277 ssim/vi:0.144110
['010416.jpg'] ssim/ir:0.121062 ssim/vi:0.126490
['010417.jpg'] ssim/ir:0.137458 ssim/vi:0.129411
['010418.jpg'] ssim/ir:0.111228 ssim/vi:0.140459
['010419.jpg'] ssim/ir:0.088107 ssim/vi:0.145321
['010420.jpg'] ssim/ir:0.111725 ssim/vi:0.139248
['010421.jpg'] ssim/ir:0.158128 ssim/vi:0.137842
['010422.jpg'] ssim/ir:0.101366 ssim/vi:0.156395
['010423.jpg'] ssim/ir:0.080898 ssim/vi:0.153388
['010424.jpg'] ssim/ir:0.148223 ssim/vi:0.124337
['010425.jpg'] ssim/ir:0.112371 ssim/vi:0.133379
