['02296.png'] ssim/ir:0.024427 ssim/vi:0.334409
['02310.png'] ssim/ir:0.025171 ssim/vi:0.331937
['02317.png'] ssim/ir:0.025490 ssim/vi:0.338013
['02322.png'] ssim/ir:0.027633 ssim/vi:0.329923
['02337.png'] ssim/ir:0.024603 ssim/vi:0.323685
['02352.png'] ssim/ir:0.021535 ssim/vi:0.301661
['02369.png'] ssim/ir:0.024216 ssim/vi:0.313338
['02394.png'] ssim/ir:0.019369 ssim/vi:0.297067
['02405.png'] ssim/ir:0.020179 ssim/vi:0.272712
['02440.png'] ssim/ir:0.022303 ssim/vi:0.290953
['02450.png'] ssim/ir:0.023589 ssim/vi:0.309415
['02455.png'] ssim/ir:0.022521 ssim/vi:0.300957
['02464.png'] ssim/ir:0.023949 ssim/vi:0.305183
['02473.png'] ssim/ir:0.024608 ssim/vi:0.326310
['02478.png'] ssim/ir:0.024382 ssim/vi:0.296138
['02486.png'] ssim/ir:0.022585 ssim/vi:0.288192
['02495.png'] ssim/ir:0.022892 ssim/vi:0.283790
['02522.png'] ssim/ir:0.025790 ssim/vi:0.323025
['02527.png'] ssim/ir:0.017836 ssim/vi:0.336726
['02530.png'] ssim/ir:0.012560 ssim/vi:0.282778
['02533.png'] ssim/ir:0.014648 ssim/vi:0.245415
['02544.png'] ssim/ir:0.010035 ssim/vi:0.099742
['02556.png'] ssim/ir:0.023957 ssim/vi:0.297972
['02572.png'] ssim/ir:0.022052 ssim/vi:0.285073
['02606.png'] ssim/ir:0.024318 ssim/vi:0.330259
['02611.png'] ssim/ir:0.025222 ssim/vi:0.320568
['02624.png'] ssim/ir:0.028062 ssim/vi:0.349563
['02641.png'] ssim/ir:0.023644 ssim/vi:0.143257
['02651.png'] ssim/ir:0.004663 ssim/vi:0.134773
['02658.png'] ssim/ir:0.005977 ssim/vi:0.158416
['02667.png'] ssim/ir:0.006490 ssim/vi:0.258897
['02709.png'] ssim/ir:0.025333 ssim/vi:0.360691
['02720.png'] ssim/ir:0.024230 ssim/vi:0.332548
['02731.png'] ssim/ir:0.024621 ssim/vi:0.326073
['02739.png'] ssim/ir:0.025524 ssim/vi:0.340623
['02754.png'] ssim/ir:0.017062 ssim/vi:0.359681
['02757.png'] ssim/ir:0.008034 ssim/vi:0.116584
['02762.png'] ssim/ir:0.009416 ssim/vi:0.165359
['02778.png'] ssim/ir:0.009155 ssim/vi:0.163365
['02786.png'] ssim/ir:0.028601 ssim/vi:0.367132
['02816.png'] ssim/ir:0.022825 ssim/vi:0.356480
['02821.png'] ssim/ir:0.024865 ssim/vi:0.338195
['02846.png'] ssim/ir:0.025162 ssim/vi:0.366545
['02860.png'] ssim/ir:0.025329 ssim/vi:0.365838
['02869.png'] ssim/ir:0.022861 ssim/vi:0.358728
['02896.png'] ssim/ir:0.010427 ssim/vi:0.287872
['02956.png'] ssim/ir:0.028357 ssim/vi:0.369470
['03019.png'] ssim/ir:0.019015 ssim/vi:0.312299
['03045.png'] ssim/ir:0.020307 ssim/vi:0.351738
['03100.png'] ssim/ir:0.022289 ssim/vi:0.317111
['03109.png'] ssim/ir:0.023891 ssim/vi:0.331307
['03143.png'] ssim/ir:0.024134 ssim/vi:0.334638
['03173.png'] ssim/ir:0.024942 ssim/vi:0.332211
['03219.png'] ssim/ir:0.022284 ssim/vi:0.334438
['03260.png'] ssim/ir:0.026509 ssim/vi:0.344548
['03281.png'] ssim/ir:0.030290 ssim/vi:0.364004
['03289.png'] ssim/ir:0.028815 ssim/vi:0.383297
['03354.png'] ssim/ir:0.026339 ssim/vi:0.366540
['03375.png'] ssim/ir:0.027198 ssim/vi:0.371540
['03381.png'] ssim/ir:0.026543 ssim/vi:0.358227
['03409.png'] ssim/ir:0.025257 ssim/vi:0.344696
['03417.png'] ssim/ir:0.029393 ssim/vi:0.367749
['03433.png'] ssim/ir:0.023405 ssim/vi:0.286592
['03438.png'] ssim/ir:0.029388 ssim/vi:0.334319
['03462.png'] ssim/ir:0.035099 ssim/vi:0.344243
['03473.png'] ssim/ir:0.020088 ssim/vi:0.314052
['03575.png'] ssim/ir:0.031923 ssim/vi:0.367040
['03589.png'] ssim/ir:0.029151 ssim/vi:0.350176
['03600.png'] ssim/ir:0.031067 ssim/vi:0.375707
['03640.png'] ssim/ir:0.031214 ssim/vi:0.345683
['03708.png'] ssim/ir:0.026578 ssim/vi:0.357807
['03719.png'] ssim/ir:0.027566 ssim/vi:0.361008
['03769.png'] ssim/ir:0.017067 ssim/vi:0.307605
['03813.png'] ssim/ir:0.012431 ssim/vi:0.343729
['03836.png'] ssim/ir:0.014984 ssim/vi:0.293873
['03878.png'] ssim/ir:0.013817 ssim/vi:0.234817
['03989.png'] ssim/ir:0.011763 ssim/vi:0.266302
['04006.png'] ssim/ir:0.013118 ssim/vi:0.228443
['04018.png'] ssim/ir:0.010060 ssim/vi:0.257583
['04026.png'] ssim/ir:0.009986 ssim/vi:0.267946
['04053.png'] ssim/ir:0.009901 ssim/vi:0.200610
['04092.png'] ssim/ir:0.011057 ssim/vi:0.214571
['04160.png'] ssim/ir:0.012464 ssim/vi:0.294614
shape of sample : [[768, 1024]]
elapsed time for running 300 samples : 0.019965670108795165s
